,Metro Parkway,Mountain View/ 25th Ave,25th Ave/ Dunlap,19th Ave/Dunlap,Northern/19th Ave,Glendale/19th Ave,19th Ave/Montebello,19th Ave/Camelback,7th Ave/Camelback,Central Ave/Camelback,Campbell/Central Ave,Indian School/Central Ave,Osborn/Central Ave,Thomas/Central Ave,Encanto/Central Ave,McDowell/Central Ave,Roosevelt/Central Ave,WB Van Buren/Central Ave,EB Van Buren/1st Ave,EB Jefferson/1st Ave,WB Washington/Central Ave,EB 3rd St/Jefferson,WB 3rd St/Washington,WB 12th St/Washington,EB 12th St/Jefferson,EB 24th St/Jefferson,WB 24th St/Washington,38th St/Washington,44th St/Washington,50th St/Washington,Priest Dr/Washington St,Center Pkwy/Washington St,Mill Ave/Third St,Veterans Way/College Ave,University Dr/Rural,Dorsey/Apache Blvd,McClintock/Apache Blvd,Smith-Martin/Apache Blvd,Price-101 Fwy/Apache Blvd,Sycamore/Main St,Alma School/Main St,Country Club/Main St,Center/Main St,Mesa Dr/Main St,Stapley/Main St,Gilbert Rd/Main St
Veterans Way/College Ave,0.0,0.0,0.0,453.6123472002854,210.20045230600613,300.2912457836065,449.3016516234646,447.7545087423844,276.5395950609544,248.14989964240135,249.55432591836535,440.1832870095404,239.05554065227176,495.9696991856374,162.22373390648477,565.0751408645491,420.1834878695645,368.1880623220622,510.3027859031425,236.15206466243416,396.5940114024382,474.73001277425993,309.7254455178695,151.05490152254816,168.42968041728184,290.4322128731587,385.0504725327682,730.3034721315832,1878.1152652080757,490.4968586286405,1302.3079120226462,479.7078082043926,2083.6352041284845,0.0,1414.6474093031538,3069.515012030761,2116.9529404767177,631.0400283144395,967.7860517485217,1208.9896031804199,947.8181762408806,721.6551198176336,340.3918081330648,488.9514502066953,298.80514360749066,917.6261709229191
University Dr/Rural,0.0,0.0,0.0,217.67292114752374,100.78715229930975,143.90655090666837,215.30368941677165,214.63996602149143,132.52215918574328,118.90780625656902,119.60045595451801,211.0227313343076,114.69321862338913,238.12857405140423,77.99020338430877,272.2272061121333,202.73530780989972,178.09600464548456,246.86329273768584,114.41943649315137,192.05662006264973,230.0668535211821,149.9864697447021,73.07665403675674,81.50844951832397,140.18827974731892,185.77854293899887,351.02436805658476,901.1940991836968,235.08722621829136,624.4068131871937,230.57258211142258,1000.0517620114052,1373.8600270621366,0.0,1862.6704816975475,1280.8146964663847,380.6445350100368,581.5653819086895,723.6781505347041,566.6573295945938,430.8016535528623,203.09551233256377,291.60233541908434,178.05225812751303,546.5422415749925
Dorsey/Apache Blvd,0.0,0.0,0.0,524.4315667118265,242.56869921657687,346.0637873688516,517.547239322453,516.0147860666963,318.5564374049831,285.8359676156191,287.5002049443121,507.33259628001815,275.8819137862203,573.099220317966,187.88940444199994,656.9445948304032,489.87477119964825,431.26646195790784,597.8466831984425,277.4753723181167,465.53521679254374,558.0077803187595,363.5428128598058,176.95243954812892,197.4206274362168,338.7327493238809,448.7365709629507,845.2659635962015,2167.5853831084046,565.1144196492561,1502.096194560249,555.4505305080396,2404.1933202313435,3302.6240036348254,2063.6266337171237,0.0,3960.4307362899167,1172.4999375121693,1785.7790957417592,2215.513029495589,1734.656823514438,1317.6933535333767,621.0732769232808,891.5556044143016,544.1797598486866,1670.1040294967113
McClintock/Apache Blvd,0.0,0.0,0.0,359.94118911267884,165.98313469561023,236.02522034544032,351.63271155591406,349.7730703888778,216.331659363985,194.30265741327278,195.10923600339075,343.7940672457661,186.53095006435007,386.9547753037313,126.63649518069548,441.91571607013185,329.179749985133,289.4104212093175,401.17715319867324,186.07751679209062,312.25613346720223,374.18527103950544,243.8509702528728,118.75164357338909,132.47045085180645,227.6284946758472,301.62833821072485,570.0535885940167,1465.3130892698798,383.1366853859199,1023.3226641947697,379.3142868236208,1626.1465041687104,2236.9501700860424,1393.5967635751435,3889.5392386614785,0.0,942.3343119134486,1435.2252832795032,1780.555074827428,1394.1375811070654,1059.0233795868135,499.15376056244935,716.5393765313942,437.35494195400327,1342.256273477901
Smith-Martin/Apache Blvd,0.0,0.0,0.0,104.10554362108567,47.882924440924185,67.89877441674123,100.82919231055115,100.09852312479092,62.00268007390217,55.7325410333127,55.885578384489044,98.3538294815858,53.26357588533761,110.36820812371,36.0663173451144,125.65578028369556,93.51757633759692,82.12840537508615,113.84074472769275,52.77456034116891,88.57583089693468,106.11945522148187,69.17283427837665,33.69911929644288,37.588077568525016,64.66197539302162,85.70059906766464,162.3600786359494,418.0434762919751,109.51770950911305,293.3151007047797,108.81626954756496,463.20692238452347,637.3843988001652,395.88572346660044,1100.6974936939794,900.7503080773005,0.0,476.0932629189039,590.6399253908053,462.4636955258096,351.2996625725825,165.57947003193877,237.6906922820464,145.07953028194694,445.2536328547832
Price-101 Fwy/Apache Blvd,0.0,0.0,0.0,175.98512312335785,80.6013238945819,113.77910982877698,168.08726640496442,166.34747020063762,103.26915311516645,92.93340351343811,92.98165109902858,163.3275240948656,88.19239843297218,182.42212175208198,59.47702030734486,206.70967674863627,153.63520519512008,134.69933627621987,186.70003578894398,86.48189018538005,145.18597205225564,173.8828479845981,113.38405699112184,55.26745881574879,61.635088394253785,106.19401241809598,140.78801513215907,267.5789319508687,690.4444249098119,181.30203714764448,486.87863313084114,180.65668296674656,761.926638505708,1048.3450226042755,648.6779667581154,1797.890520299722,1471.2953057464688,510.59010518824283,0.0,1263.4690662286419,989.3432549589088,751.5305663264126,354.2220765476079,508.48879289184526,310.3668849576085,952.5259271307791
Sycamore/Main St,0.0,0.0,0.0,251.3145035483312,114.43004437043307,160.53782749739165,235.4953577632115,232.0669209625379,144.47083329855982,130.1953646796301,129.87113332321672,227.54307343509294,122.38808278461595,252.5559656492308,82.09295970657193,284.3636334918922,210.96627536145485,184.53832498240365,255.75990616370856,118.33873045813552,198.73650321402553,237.8990429541064,155.20595138790395,75.70437895875537,84.40634163816476,145.7000430477708,193.24002239608316,368.58178875470315,953.2240063518199,250.85505899617792,674.7897348079076,250.15823407453752,1044.6852451302234,1436.7672920823293,885.5539976600219,2447.0835848643146,2002.5075954270683,694.9317377755737,1386.12884462611,0.0,1956.612938527515,1486.4697156429913,700.6254038198197,1005.7583101405838,613.8926693301853,1884.0526209148873
Alma School/Main St,0.0,0.0,0.0,213.4830374542623,96.79627892543934,135.2135196579844,197.39731923663226,193.97665814417914,120.96207170095101,109.10166719647154,108.61426205387394,189.98748281771415,101.93825145112267,210.05254561157116,68.1538523930362,235.6333689768315,174.640923129216,152.58216928412995,211.4629699585797,97.78999950959576,164.25390051525636,196.57365223577526,128.27599926089852,62.58744196329036,69.77331812992325,120.54054662205257,159.90290254032215,305.48820490039765,790.8656743352459,208.31884755748027,560.5567589001032,207.64496264613027,863.3901045750888,1187.154031113651,730.8163755583469,2019.3250656078187,1652.5041810772816,573.4758889647342,1143.9423987691694,2062.163487962104,0.0,1686.787288943641,795.0432811540811,1141.292187924122,696.6119886875877,2137.9251325539035
Country Club/Main St,0.0,0.0,0.0,179.14370350249752,80.84498290228784,112.38883404831033,163.19759210596956,159.86186188811362,99.86488594432319,90.15098172552639,89.54904601157091,156.35188374174854,83.6603892924791,172.106808557233,55.72599079948849,192.2381661702129,142.30850990298572,124.14949671025417,172.05083408431673,79.50795437289489,133.57471341906634,159.8050568725267,104.31579672563991,50.91515820751798,56.752016036432586,98.13806599544797,130.2158518488562,249.19292140893054,645.7800618064185,170.23976983230284,458.09097322480034,169.51874253124276,701.7117947604733,964.5623924130309,592.9030854267376,1636.9130536594507,1339.5566041516427,464.87248304281303,927.3045653246248,1671.8327441283955,1800.0265420860542,0.0,915.2466190154549,1313.8436444552306,801.9327900552933,2461.1526318114047
Center/Main St,0.0,0.0,0.0,85.55678213419773,38.52415627414348,53.43415897932798,77.39693805374122,75.70400498978091,47.32831859043167,42.74052426050408,42.411788136894124,73.98889808833698,39.54058597980493,81.28334129533644,26.294157163696475,90.6182765834455,67.047268572934,58.45442821221839,81.00681374767586,37.42353987892435,62.87781249241876,75.21454224049268,49.104436047566786,23.970632829342417,26.71679966477115,46.21716173085116,61.33001541625827,117.44360079050514,304.4716055524397,80.28729446241707,216.02085742411137,79.90331085979888,330.1873289053144,453.81720220612794,278.8097148369627,769.5827526870147,629.7832351382937,218.556547602969,435.96597885660407,786.002392280278,846.2731991674231,912.9339534690797,0.0,738.8227695399164,450.9561435611667,1383.9967312964825
