stop_name,Federal Way TC - Bay 8,Pacific Hwy S & S 316th St,Pacific Hwy S & S 312th St,Pacific Hwy S & S 308th St,Pacific Hwy S & S Dash Point Rd,Pacific Hwy S & S 288th St,Pacific Hwy S & S 283rd St,Pacific Hwy S & S 276th St,Pacific Hwy S & S 272nd St,Pacific Hwy S & S 268th St,Pacific Hwy S & S 260th St,Pacific Hwy S & S 252nd St,Pacific Hwy S & S 246th St,Pacific Hwy S & S 240th St,Pacific Hwy S & Kent Des Moines Rd,Pacific Hwy S & S 224th St,International Blvd & S 216th St,International Blvd & S 208th St,International Blvd & S 200th St,International Blvd & S 195th St,International Blvd & S 188th St,International Blvd & S 180th St,International Blvd & S 176th St - Bay 2,International Blvd & S 170th St,International Blvd & S 160th St,Tukwila International Blvd Station - Bay 2
Pacific Hwy S & S 260th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.027367570758734,3.9588158749723625,3.8474633649770453,3.6354978733285765,3.444052410798327,3.211666310999459,2.969601942764453,2.7067829110667905,2.4769061146403906,2.2101781664359628,1.9369391575339887,1.7108579641558417,1.4623928503334787,1.1951868750512626,0.9735281507079764
Pacific Hwy S & S 252nd St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.495039533838624,4.367955538709238,4.12643090891748,3.905479455312477,3.6409277941261284,3.3666853237680785,3.068831537180623,2.8082587857224848,2.5056572162061177,2.19557694479524,1.9392024728906532,1.657589610216122,1.3551699324637936,1.104087284710015
Pacific Hwy S & S 246th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9622410156895365,4.687496095648066,4.433810275344421,4.13303291237868,3.8220893016027184,3.4841676321168356,3.188423980980797,2.844791845907128,2.4925862303841613,2.2014776747303233,1.8818075143187298,1.538785718305964,1.2538359745192227
Pacific Hwy S & S 240th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.335978611457877,5.044649251386237,4.702336077415891,4.349136372308679,3.9649257780843534,3.6284945005897185,3.2374118464543793,2.836490171378336,2.5051807730475653,2.1414482106174115,1.7513496115530436,1.4271449676330932
Pacific Hwy S & Kent Des Moines Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.739953407841455,5.353593629480494,4.95395744438155,4.517361286182173,4.134404749258696,3.688834186692672,3.2318627566969407,2.854323070635881,2.4399915315611826,1.9959647573057537,1.6266455188202786
Pacific Hwy S & S 224th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123700997506022,5.6630673618054015,5.16215118574397,4.723843434808928,4.21481840294692,3.693135551314638,3.2618453216229946,2.788181543693409,2.279521913995827,1.856971825086549
International Blvd & S 216th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.502063696195252,5.926610115864161,5.4232855669655695,4.839168240400209,4.240509308804913,3.745367277986055,3.2014577625002008,2.6169096699619048,2.131433432351532
International Blvd & S 208th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.850601979157858,6.268806407561903,5.593553950578404,4.901361710585983,4.328975887368267,3.7003502041235694,3.024900724819107,2.4636741455837896
International Blvd & S 200th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.309177644709461,6.521694509720783,5.714241160796378,5.04679583639356,4.314042143699361,3.5269132052526593,2.8724271969939252
International Blvd & S 195th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.727798385471219,6.770552702310436,5.979614488559668,5.111615315726561,4.179368443904716,3.4036966000065525
