route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
44,Local_Sunday_10_2307-PHNS_0000001,18965151,"Sky Train 44th St",1,,440024,6779
39,Local_Sunday_10_2307-PHNS_0000001,18965152,"Union Hills/PVCC",0,,390009,6662
39,Local_Sunday_10_2307-PHNS_0000001,18965153,"Union Hills/PVCC",0,,390009,6675
52,Local_Sunday_10_2307-PHNS_0000001,18965154,"48th St+Roeser",0,,520026,6883
52,Local_Sunday_10_2307-PHNS_0000001,18965155,"48th St+Roeser",0,,520026,6873
39,Local_Sunday_10_2307-PHNS_0000001,18965156,"Union Hills/PVCC",0,,390009,6674
39,Local_Sunday_10_2307-PHNS_0000001,18965157,"Union Hills/PVCC",0,,390009,6658
16,Local_Sunday_10_2307-PHNS_0000001,18965158,"Union Hills/PVCC",0,,160061,6206
44,Local_Sunday_10_2307-PHNS_0000001,18965159,"Sky Train 44th St",1,,440024,6782
39,Local_Sunday_10_2307-PHNS_0000001,18965160,"Union Hills/PVCC",0,,390009,6665
52,Local_Sunday_10_2307-PHNS_0000001,18965161,"48th St+Roeser",0,,520026,6872
39,Local_Sunday_10_2307-PHNS_0000001,18965162,"Union Hills/PVCC",0,,390009,6670
39,Local_Sunday_10_2307-PHNS_0000001,18965163,"Union Hills/PVCC",0,,390009,6652
52,Local_Sunday_10_2307-PHNS_0000001,18965164,"48th St+Roeser",0,,520026,6878
39,Local_Sunday_10_2307-PHNS_0000001,18965165,"Union Hills/PVCC",0,,390009,6655
52,Local_Sunday_10_2307-PHNS_0000001,18965166,"48th St+Roeser",0,,520026,6888
39,Local_Sunday_10_2307-PHNS_0000001,18965167,"Union Hills/PVCC",0,,390009,6650
16,Local_Sunday_10_2307-PHNS_0000001,18965168,"Union Hills/PVCC",0,,160061,6213
39,Local_Sunday_10_2307-PHNS_0000001,18965169,"Union Hills/PVCC",0,,390009,6663
44,Local_Sunday_10_2307-PHNS_0000001,18965170,"Sky Train 44th St",1,,440024,6786
52,Local_Sunday_10_2307-PHNS_0000001,18965171,"48th St+Roeser",0,,520026,6879
60,Local_Sunday_10_2307-PHNS_0000001,18965172,"24th St+Camelback",0,,600039,6953
44,Local_Sunday_10_2307-PHNS_0000001,18965173,"Sky Train 44th St",1,,440024,6776
16,Local_Sunday_10_2307-PHNS_0000001,18965174,"Union Hills/PVCC",0,,160061,6218
60,Local_Sunday_10_2307-PHNS_0000001,18965175,"24th St+Camelback",0,,600039,6947
60,Local_Sunday_10_2307-PHNS_0000001,18965176,"24th St+Camelback",0,,600039,6958
60,Local_Sunday_10_2307-PHNS_0000001,18965177,"24th St+Camelback",0,,600039,6954
60,Local_Sunday_10_2307-PHNS_0000001,18965178,"24th St+Camelback",0,,600039,6957
16,Local_Sunday_10_2307-PHNS_0000001,18965179,"Union Hills/PVCC",0,,160061,6216
60,Local_Sunday_10_2307-PHNS_0000001,18965180,"24th St+Camelback",0,,600039,6945
44,Local_Sunday_10_2307-PHNS_0000001,18965181,"Sky Train 44th St",1,,440024,6778
16,Local_Sunday_10_2307-PHNS_0000001,18965182,"Union Hills/PVCC",0,,160061,6212
60,Local_Sunday_10_2307-PHNS_0000001,18965183,"24th St+Camelback",0,,600039,6960
170,Local_Sunday_10_2307-PHNS_0000001,18965184,"51st Ave+Bell",1,,1700058,7598
170,Local_Sunday_10_2307-PHNS_0000001,18965185,"51st Ave+Bell",1,,1700058,7595
60,Local_Sunday_10_2307-PHNS_0000001,18965186,"24th St+Camelback",0,,600039,6950
170,Local_Sunday_10_2307-PHNS_0000001,18965187,"Arrowhead Ctr",1,,1700056,7607
60,Local_Sunday_10_2307-PHNS_0000001,18965188,"24th St+Camelback",0,,600039,6948
170,Local_Sunday_10_2307-PHNS_0000001,18965189,"51st Ave+Bell",1,,1700058,7604
60,Local_Sunday_10_2307-PHNS_0000001,18965190,"24th St+Camelback",0,,600039,6951
170,Local_Sunday_10_2307-PHNS_0000001,18965191,"Arrowhead Ctr",1,,1700056,7597
60,Local_Sunday_10_2307-PHNS_0000001,18965192,"24th St+Camelback",0,,600039,6962
170,Local_Sunday_10_2307-PHNS_0000001,18965193,"Arrowhead Ctr",1,,1700056,7602
60,Local_Sunday_10_2307-PHNS_0000001,18965194,"24th St+Camelback",0,,600039,6944
60,Local_Sunday_10_2307-PHNS_0000001,18965195,"24th St+Camelback",0,,600039,6955
170,Local_Sunday_10_2307-PHNS_0000001,18965196,"51st Ave+Bell",1,,1700058,7609
60,Local_Sunday_10_2307-PHNS_0000001,18965197,"24th St+Camelback",0,,600039,6959
60,Local_Sunday_10_2307-PHNS_0000001,18965198,"24th St+Camelback",0,,600039,6946
170,Local_Sunday_10_2307-PHNS_0000001,18965199,"Arrowhead Ctr",1,,1700056,7612
60,Local_Sunday_10_2307-PHNS_0000001,18965200,"24th St+Camelback",0,,600039,6952
170,Local_Sunday_10_2307-PHNS_0000001,18965201,"51st Ave+Bell",1,,1700058,7587
170,Local_Sunday_10_2307-PHNS_0000001,18965202,"Arrowhead Ctr",1,,1700056,7614
170,Local_Sunday_10_2307-PHNS_0000001,18965203,"Arrowhead Ctr",1,,1700056,7596
60,Local_Sunday_10_2307-PHNS_0000001,18965204,"24th St+Camelback",0,,600039,6961
170,Local_Sunday_10_2307-PHNS_0000001,18965205,"Arrowhead Ctr",1,,1700056,7599
170,Local_Sunday_10_2307-PHNS_0000001,18965206,"51st Ave+Bell",1,,1700058,7591
90,Local_Sunday_10_2307-PHNS_0000001,18965207,"Rose Garden+Cave Crk",0,,900054,7176
170,Local_Sunday_10_2307-PHNS_0000001,18965208,"51st Ave+Bell",1,,1700058,7590
90,Local_Sunday_10_2307-PHNS_0000001,18965209,"Rose Garden+Cave Crk",0,,900054,7173
170,Local_Sunday_10_2307-PHNS_0000001,18965210,"Arrowhead Ctr",1,,1700056,7608
170,Local_Sunday_10_2307-PHNS_0000001,18965211,"51st Ave+Bell",1,,1700058,7606
90,Local_Sunday_10_2307-PHNS_0000001,18965212,"Rose Garden+Cave Crk",0,,900054,7189
90,Local_Sunday_10_2307-PHNS_0000001,18965213,"Rose Garden+Cave Crk",0,,900054,7175
170,Local_Sunday_10_2307-PHNS_0000001,18965214,"Arrowhead Ctr",1,,1700056,7588
170,Local_Sunday_10_2307-PHNS_0000001,18965215,"51st Ave+Bell",1,,1700058,7610
90,Local_Sunday_10_2307-PHNS_0000001,18965216,"Rose Garden+Cave Crk",0,,900054,7179
170,Local_Sunday_10_2307-PHNS_0000001,18965217,"Arrowhead Ctr",1,,1700056,7592
90,Local_Sunday_10_2307-PHNS_0000001,18965218,"Rose Garden+Cave Crk",0,,900054,7177
170,Local_Sunday_10_2307-PHNS_0000001,18965219,"51st Ave+Bell",1,,1700058,7603
90,Local_Sunday_10_2307-PHNS_0000001,18965220,"Rose Garden+Cave Crk",0,,900054,7183
