area_id,stop_id
24AR,3202
24BA,8063
24BA,3184
24BA,5364
24BU,3186
24BU,4878
24BU,5511
24BU,223
24CA,2069
24CA,3796
24CA-E,256
24CA-W,5553
24IN,5682
24IN,404
24JE,446
24JE,4881
24JE1,9002
24MC,486
24MC,5746
24RE,5830
24RE,585
24TH,2087
24TH,3814
24TH,748
24TH,5981
24VB,2065
24VB,3815
24VB,886
24VB,6114
24WA,6193
24WA2,9030
27BA,7760
27BA1,1009
27BA2,9115
27BU,8055
27BU,8058
27BU,6398
27BU,1122
27CA,2101
27CA,3831
27CA,1169
27CA,6445
27DU,8053
27DU,8060
27DV,8033
27DV,8037
27GL,2107
27GL,3834
27GL,6609
27IN,2110
27IN,3840
27IN,6721
27IN,1406
27LB,9183
27LB-E,9184
27NO,1528
27NO,6851
27RO,3854
27RO,8035
27SO,1636
27SO,6956
27TH,2120
27TH,3856
27UN,7071
27UN,3857
27VB,2121
27VB,3858
27VB,1808
27VB,7127
28CA,3878
29BE,2954
29BE,3890
29GR,2157
29GR,3892
2AVB,50
31TB,2171
31TB,3905
31UN,7074
31UN,1754
31YO,1849
31YO,7176
32BD,3205
32BD,4898
32BD,139
32BD,5436
32CT,2179
32CT,5527
32CT,236
32IN,5685
32IN,408
32MC,492
32RO,2197
32RO,5858
32RO-S,3934
32SH,2208
32SH,658
32SH,3935
32SH,7733
32TB,3939
32TB,2201
32TB,785
32TB,20053
32TH,3938
32TH,2200
32UH,3940
32UH,804
32UH,6038
32VB,8217
32VB,2203
32VB,889
32VB,6117
35BD,4905
35BD,3211
35BE,1065
35BE,6337
35BU,4906
35BU,3212
35BU,6402
35BU,1127
35CA,3954
35CA,2225
35CA,1172
35CA,6448
35CT,6429
35CT,1152
35DU,4903
35GL,3970
35GL,2239
35LB,4910
35LB,3217
35LB,9182
35LB,9181
35MC,1494
35MC,6798
35NO,1532
35NO,6853
35SO,1637
35SO,6957
35TB,3994
35TB,2260
35TB,7042
35TB,1725
35TH,3993
35TH,2259
35TH,1678
35TH,7001
35UN,2262
35UN,1756
35UN,3996
35UN,7076
35VB,3997
35VB,2263
35VB,1812
35VB,7131
39CA,1174
39DU,1244
39SO,1638
3AVB,1832
3S&V,6136
3SGR,4029
3SWA2,9032
40BA,5367
40BA,20020
40BA,56
40BD,20012
40BD,20028
40BL,5397
40BL,98
40BL,2302
40BL,4038
40CA,5559
40CT,5530
40CT,238
40CT,9390
40CT,9382
40SH,638
40SH,5879
40SH,9386
40TB,789
40TB,6022
40TB,2311
40TB,9378
40UH,807
40UH,6041
40UH,4044
40WA,6201
43BE,4051
43BE,1069
43BE,6341
43BE,2319
43BL,2318
43BL,4050
43BU,7635
43BU,7686
43BU,6405
43BU,1131
43CA,1186
43CA,6464
43CA,2322
43CA,4054
43CT,2321
43CT,4053
43DU,1245
43DU,6874
43DU,2328
43DU,4058
43GE,4064
43GE,2334
43GL,6601
43GL,1326
43IN,6727
43IN,1412
43LB,9584
43LB,9583
43LB,20076
43MC,1498
43MC,6802
43NO,1537
43NO,6858
43NO,4080
43PE,6907
43PE,1588
43PE,2356
43PE,4088
43SO,6267
43SO,20103
43TB,7046
43TB,1729
43TB,2362
43TB,4098
43TH,2361
43TH,4097
43UN,1759
43UN,1758
43UN,7080
43UN,4100
43VB,2364
43VB,4101
43VB,1816
43VB,7134
44CA,4110
44CA,2373
44CA,265
44CA,5560
44EL,5619
44IN,5691
44IN,414
44MC,498
44MC,5755
44TH,4124
44TH,2386
44TH,759
44TH,5991
44VB,4125
44VB,2387
44VB,892
44VB,6122
44WA,960
44WA,9295
44WA,2388
44WA,6202
44WA1,9005
44WA2,9033
45GL,6618
45MY,26
48&V,893
48&V,6123
48BA,1012
48BA,5369
48BD,1088
48BD,5444
48BD1,4924
48CH,4925
48CH,7546
48CH,5592
48CH,7548
48EL,1271
48EL,327
48EL,6564
48EL,4928
48FR,7636
48MC,5757
48RO,5839
48RO,4932
48SO,3237
48SO,4933
48SO,1639
48SO,5930
48UN,1787
48UN,7116
48UN,6086
48WR,6168
48WR,4935
48WR,3234
4AWA,7840
50WA1,9765
50WA2,9764
51BU,1370
51BU,6407
51BU,1364
51BU,1134
51CA,4132
51CA,7885
51CC,2402
51CC,1160
51DO,9058
51DO,9059
51GL,7910
51GL,7893
51GR,9185
51GR,8326
51IN,4142
51IN,2410
51IN,6731
51IN,1415
51LB,9400
51LB,9410
51LB,1374
51LB,1361
51MC,1501
51MC,2411
51MC,6804
51OL,6877
51OL,7917
51OL,7897
51PE,9323
51PE,9322
51RO,8443
51RO,7871
51SO,20037
51SO,20045
51TB,7049
51TB,1731
51TH,4148
51TH,1687
51TH,7005
51TH,2417
51UN,1762
51UN,7084
51VB,1367
51VB,8445
51VB,1820
51VB,7138
52DV,8472
52DV,8501
52MC,502
52MC,5759
52MC,4153
52TH,762
52TH,5993
52UN,1788
52UN,7105
52UN,9563
52UN,7817
52VB,9327
52VB,6124
54CH,8860
54CH,6485
54CH,8718
54OC,30246
55EN,40014
55EN,40048
55NO,1541
55NO,4157
56MY,471
56RA,9459
56RA,9444
56SH,643
56TH,764
56TH,5995
56WA,1845
56WA,6210
59BE,1044
59BE,4179
59BE,2440
59BR,9574
59BU,6410
59BU,1137
59BU,3248
59CA,1181
59CA,6469
59CA,4171
59CA,2444
59GL,2490
59GL,6626
59GL,1355
59GL,4189
59GN,4191
59GN,2474
59HA,4168
59HA,7984
59IN,4194
59IN,2462
59IN,6734
59IN,1419
59MC,1502
59MC,6808
59MC,4198
59MC,2464
59MY,4203
59MY,2469
59NO,4205
59NO,7983
59NO,2470
59OL,6880
59OL,1555
59OL,4219
59OL,2472
59PE,6915
59PE,1596
59TB,7052
59TB,1733
59TB,7985
59TB,4177
59TB,2437
59TH,1690
59TH,7009
59TH,4215
59TH,2483
59UH,1766
59UH,7087
59UH,4216
59VB,4217
59VB,2485
59VB,7524
59VB,7511
5ASC,3045
5SFA,40080
5SFA,7720
5SPR,5233
5SVB,895
5SVB,6125
5SVB,7849
63FI,40298
63PE,6916
64CA,284
64CA,5565
64IN,5707
64IN,419
64MC,504
64MC,5761
64SH,646
64SH,5887
64TH,766
64TH,6006
65LB,9404
65LB,9405
67BE,1079
67BE,6352
67BE,4233
67BU,9175
67BU,7495
67BU,9207
67BU,1139
67CA,9170
67CA,9198
67CA,2507
67CA,4236
67CP,4264
67CP,40007
67CT,2506
67CT,4235
67GL,1336
67GL,6631
67GL,2549
67GL,4243
67GR,2514
67IN,6738
67IN,1423
67LB,20110
67LB,20109
67LB,7991
67MC,1504
67MC,6812
67OL,4258
67OL,2528
67PE,1600
67PE,6918
67PE,2533
67PE,4263
67TB,9523
67TB,1736
67TB,2541
67TB,4268
67TH,1694
67TH,2540
67TH,7012
67TH,4267
67UN,1769
67UN,7089
67UN,30236
67UN,30237
67VB,2542
67VB,4269
67VB,7520
67VB,8083
68MC,505
68MC,2554
68MC,4277
68OB,9615
68OB,2556
68OB,4279
68TH,778
68TH,9376
68TH,5996
68TH,2558
68TH,4281
6AWA,7167
70SH,5890
74MC,5764
75BE,2563
75BU,9174
75BU,9196
75BU,7693
75BU,1381
75CA,9202
75CA,195
75EN,40019
75EN,40053
75LB,1359
75LB,8785
75LB,1704
75LB,1379
75TH,1699
75VB,1632
75VB,1461
75VB,8095
75VB,8087
78MA,4294
79&V,8093
79&V,8089
79PR,2572
7ABA,7824
7ABA,1011
7ABA,1006
7ABA,6274
7ABD,2575
7ABD,4954
7ABE,6324
7ABE,1051
7ABU,2576
7ABU,4955
7ABU,6412
7ABU,1140
7ACA,2578
7ACA,4299
7ACA1,9006
7ACA2,9034
7ADE,7502
7ADE,7503
7ADO,6519
7AGL,2586
7AGL,4307
7AJE,1449
7ANO,2595
7ANO,4313
7ARE,2600
7ARE,1622
7ASO,2603
7ASO,4960
7ASO,1630
7ASO,6958
7ATH,2605
7ATH,4318
7AWA,7168
7AWA,7841
7SBA,20061
7SBA,3255
7SBD,4980
7SBD,3256
7SBD,5449
7SBU,4981
7SBU,3274
7SBU,5513
7SBU,227
7SCA,4341
7SCA,2630
7SDE,1227
7SDE,1124
7SDO,8079
7SDO,3258
7SDU,4346
7SDU,2635
7SGL,4348
7SGL,2637
7SNO,556
7SNO,5804
7SRE,4988
7SRE,5841
7SRE,594
7SSO,4990
7SSO,3267
7SSO,688
7SSO,5933
7STB,4373
7STB,2663
7STB,6025
7STB,792
7STH,4372
7STH,2661
7SUN,9191
7SUN,1015
7SUN,810
7SUN,6044
7SVB,4376
83CA,9162
83CA,30074
83CA,1865
83CA,30210
83IN,4389
83IN,7858
83IN,1429
83LB,20080
83MA,30054
83MA,30055
83MC,1870
83MC,9104
83MC,2682
83MC,6819
83OS,40027
83OS,40061
83PE,1617
83PE,30031
83TB,9515
83TB,9516
83TB,30046
83TB,30047
83TH,1703
83TH,2684
83VB,1874
83VB,1779
83VB,8091
83VB,8105
8SDO,8996
8SDO,8934
8SDO,9147
8SFP,9587
8SMC,40186
8SMC,40201
8SUN,15
8SUN,5325
90SH,4402
90SH,2696
91CA,9158
91GL,8119
91GL,8671
91GL,8117
91LB,20089
91MC,9257
91MC,8636
91TH,20064
91TH,7627
91TH,7628
91TH,8415
91VA,9318
91VA,9331
91VA,7150
93TH,20065
93TH,7978
95GL,8673
95GL,8115
95MC,8635
95PA,20063
95PA,20062
96VI,6154
96VI,924
99IN,7863
99IN,7953
99LB,20085
99MC,9256
99MC,8639
99PE,1613
99PE,6937
99VB,9286
99VB,9287
AD17,6260
AD17,7844
AD18,6261
AJTO,9730
ALBA,3279
ALBA,5003
ALBD,1090
ALBD,6361
ALBD,2717
ALBD,5004
ALCH,2718
ALCH,4428
ALEL,7741
ALEL,4429
ALFR,3280
ALFR,1307
ALGU,3282
ALGU,5007
ALIS,3284
ALIS,5008
ALRA,7941
ALRA,4433
ALSO,2728
ALSO,1640
ALSO,6959
ALSO,5016
ALSO,5017
ALUN,1776
ALUN,2730
ALUN,4435
ALWA,2731
APCO,5332
APDO1,9010
APDO2,9038
APDO3,9694
APMA,5153
APPR1,9019
APPR2,9046
APSM1,9022
APSM2,9049
ARMA,975
ARMA1,9717
ASUE,9464
ASUE,9433
ASUR,9345
ASUR,5255
ASUW,7732
ASUW,1799
AVCC,7974
AVCO,4941
AVCO,3239
AVPR,9550
AVSC,30501
AZBT,30477
AZCH,2737
AZCH,4444
AZCH,294
AZCH,6487
AZCT,7838
AZEL,324
AZEL,6550
AZEL,7820
AZEL,4446
AZGE,8870
AZGE,8866
AZPE,8871
AZPE,8882
AZRA,30136
AZRA,30135
AZRA,2744
AZRA,8353
AZWA,2745
AZWA,4453
BA24,9561
BA24,183
BA24,9560
BA24,9137
BA51,9056
BA51,20041
BA51,9083
BA51,9067
BA59,9080
BA59,9070
BA75,9074
BA75,9072
BA75,9073
BAFU,8605
BAMC,72
BAMC,5381
BAMC,8047
BAMC,3418
BAPR,81
BAPR,3483
BAPR,5373
BD19,7494
BD19,7563
BD24,3185
BD24,4877
BD24,132
BD24,5429
BDCC,1092
BDCC,6364
BDCC,5064
BDCE,155
BDGR,163
BDGR,5457
BDPR,193
BDPR,3485
BDPR,5470
BDRO,6376
BDRO,40067
BDRU,180
BDRU,5474
BDWI,194
BDWI,5482
BE17,1055
BE35,3949
BE35,2219
BE35,6307
BE35,1034
BE43,6312
BE43,1038
BE51,6315
BE51,1041
BE51,30015
BE53,1042
BE67,6321
BE67,1047
BE7S,5409
BE7S,111
BE83,8663
BE83,8763
BECA,2754
BECA,4461
BECA,5411
BECA,113
BESC,5641
BESC,357
BETA,4809
BETA,3114
BETA,5412
BETA,115
BGCL,4703
BGCL,9635
BLPR,7852
BOGR,1376
BOWA,9131
BOWA,7951
BR59,9330
BRME,216
BRPO,5216
BUCC,9708
BUPR,9087
CA4S,8099
CA95,9156
CA95,9205
CACT,2755
CACT,4480
CACT,6026
CACT,244
CAHS,3887
CAHS,3877
CAMA,285
CAMA,5576
CAUH,813
CAUH,6045
CCBD,3336
CCBR,6388
CCBR,201
CCGU,8064
CCGU,8067
CCJU,9505
CCJU,7821
CCMA,6775
CCMA,8739
CCMA,2863
CCMA,5067
CCMA1,9353
CCMA2,9347
CCME,8066
CCMK,1517
CCRG,9179
CCRG,8205
CCSA,8065
CEASU,4979
CEBA,6276
CEBA,62
CEBA,3300
CEBA,5035
CEBD,3301
CEBD,7783
CEBD,5036
CEBD,156
CEBD,6363
CEBE,122
CEBE,6355
CEBU,3302
CEBU,5037
CEBU,6413
CEBU,1142
CECA,2798
CECA,4508
CECA,275
CECA,6463
CECA1,9009
CECA2,9037
CECP1,9007
CECP2,9035
CEDO,9178
CEDO,7827
CEDO1,3303
CEEN1,9011
CEEN2,9039
CEGL,6638
CEGL,366
CEGL,2806
CEGL,4518
CEIN,4522
CEIN,6748
CEIN,424
CEIN1,9012
CEIN2,9040
CEMA,9585
CEMC,4501
CEMD,2813
CEMD,4530
CEMD,512
CEMD,6822
CEMD1,9015
CEMD2,9042
CENO,557
CENO,6867
CENO,2818
CEOS1,9018
CEOS2,9045
CEPO,8984
CERE,6945
CERE,595
CERO,2825
CERO,3783
CERO,614
CERO1,9021
CERO2,9048
CESO,3319
CESO,5048
CESO,691
CESO,6961
CETH,2826
CETH,4541
CETH,769
CETH,7020
CETH1,9024
CETH2,9051
CEUN,2786
CEUN,4490
CEVA,2837
CEVA-E,898
CEVA-W,6134
CEVA2,9053
CEWA2,9055
CEWE,4528
CH40,7578
CHDF,7531
CHDF,40143
CHFC,30450
CHFC,7773
CHMC,300
CHMC,5589
CHPR,8731
CHPR,10131
CHVI,6492
CHVI,1202
CLAP,9771
CLAP,9769
CO5S1,9027
CO5S2,9054
COCO,9704
COCU,2849
COCU,313
CORI,30557
COSO,40240
COSO,40232
COST,2690
COUN,825
COUN,3327
CSCH,7879
CSCH,7880
DO10,4841
DO10,1229
DOBA,1014
DOBA,6278
DOBA,3338
DOBA,9092
DOBD,1095
DOBD,6382
DOBD,3339
DOBD,5073
DOCH,2870
DOCH,1205
DOCH,6494
DOCH,4585
DOCH,4576
DOFR,7810
DOFR,7809
DOGE,8614
DOPE,8586
DOPE,8597
DOQC,9533
DOQC,8601
DORA,30120
DORA,30019
DORA,2880
DORA,4586
DOSO,3346
DOSO,5083
DOUN,4582
DOUN,1778
DOUN,7100
DOUN,2876
DOWA,4583
DRBD,9424
DRBD,40211
DRDW,3572
DRDW,3582
DRIN,5699
DRMP,7836
DRMP,3139
DRMP,7645
DRMR,7785
DSTC,2014
DSTC,1980
DSTC,9582
DSTC,1882
DSTC,1775
DSTC,1373
DSTC,9581
DSTC,1990
DSTC1,9580
DV35,8135
DVPR,3576
DYCO,9246
DYVA,907
DYVA,7144
DYVA,8696
EL51,20003
ELDO,8578
ELDO,1268
ELDO,6555
ELDO,8580
ELGI,30277
ELGI,6557
ELGI,2887
ELGI,5099
ELLR,1270
ELRU,3533
ELRU,5273
ELRU,340
ELRU,5629
ELSH,323
ELSH,345
ELSH,5628
ELSH,5621
EMCA,7737
EMCC,30263
EMCC,30264
ESCL,30433
ESCL,5809
ESMC,9474
ESMC,9473
EVSO,697
EVUN,855
FEFS,30453
FHLB,30432
FI4S,5635
FOGA,3353
FOGA,9732
FOGA,5087
FRAC,9577
GAMC,3424
GAMC,5165
GAMC,385
GAMC,5670
GBCO,8028
GEPR,9571
GIAS,2897
GIBA,4598
GIBA,3359
GIBN,4599
GIBR,162
GIBR,30560
GIBR,5456
GIBR,3361
GIBR,5091
GICH,3369
GICH,5092
GICH,8337
GICH,5594
GICV,311
GICV,5601
GIGE,9102
GIGE,8946
GIHO,4597
GIHO,2890
GIIN,8947
GIMC,9089
GIMK,9144
GIMK,4608
GIPR,8042
GIRY,30212
GISO,699
GISO,5940
GISO,3368
GISO,5097
GL191,6656
GL192,6655
GL52,4151
GL52,6623
GL52,6647
GL83,8118
GL83,1344
GL83,9575
GL83,30220
GLGH,6639
GLGH,1346
GLLR,8111
GMTC,30381
GMTC,30378
GMTC,30377
GN59,1358
GR19,8254
GR19,8309
GR19,2016
GR19,3742
GR32,8235
GR32,8285
GR35,8263
GR35,8315
GR40,8239
GR40,8289
GR40,2306
GR40,4040
GR43,8267
GR43,8319
GR7S,8229
GR7S,8278
GRCA,2907
GRCA,4636
GRCH,307
GRIN,9715
GRIN,9374
GRIN,423
GRIN,30275
GRMC,9430
GRMC,9570
GRMC,5767
GRSC,8219
GRSC,8282
GRSE,30437
GRSE,9629
GRTA,8250
GRTA,8301
GUPO,3478
GUPO,9654
GUPO,8893
GUVA,380
GUVA,4833
GWAP,8894
GYPR,8858
HA7A,6702
HA7A,1399
HABA,3380
HABA,5116
HABD,1098
HABD,6370
HABD,3381
HABD,5117
HACA,5573
HACA,4642
HACA,2942
HAIB,4643
HAIB,2927
HAMC,2933
HAMC,4646
HAMD,9724
HAMD,2932
HAMD,475
HAMD,4662
HAMK,2934
HAMK,4649
HAMO,9296
HAMP,4645
HAMP,2931
HARO,5865
HARO,615
HAUN,3387
HAUN,5124
HAVD,4652
HAVD,30297
HAWA,3388
HAWA,7158
HBMA,463
HD83,2946
HOME,1610
HOME,6929
HVLP,30478
HVLP,30394
HVPR,8902
HVPR1,8143
HVPR1,8132
IKEA,7986
IN56,5695
IN56,417
IN91,7862
IN91,7867
INGW,5700
INGW,426
INHA,5701
INHA,427
INHA,2928
INST,8101
INTEL,8617
JCLH,8561
JE12,441
JE12,1360
JE121,9000
JE16,452
JE3S1,9004
KN44,7790
KN44,5711
KOHC,9310
KYAL,8867
KYBA,6283
KYBA,5137
KYCH,9357
KYCH,8898
KYCH,8613
KYCH,8582
KYEL,333
KYEL,6567
KYEL,2960
KYEL,7655
KYEL,7656
KYGU,1394
KYGU,6693
KYGU,5143
KYGU,3404
KYRW,3407
KYRW,5147
LABA,6284
LAFC,8983
LAGU,384
LAGU,5669
LB4S,4942
LB4S,3242
LECO,5152
LEJA,438
LERU,5287
LFVB,8687
LFVB,2970
LI32,7637
LI32,4901
LKRC,30482
LKRC,30519
LT59,9735
LT59,7626
MAAL,2724
MAAL,5010
MAAL,6773
MAAL,1463
MAAL1,9126
MAAL2,9125
MACE1,9499
MACE2,9498
MADO,1464
MAGI,8742
MAGI,8741
MAGI,2893
MAGI,5095
MAGI1,9763
MAGI2,9762
MAGR,8746
MAGR,8748
MAHI,8750
MAHI,8749
MALI,8743
MALI,8744
MALO1,9023
MALO2,9050
MAME,5727
MAME,7684
MAME,2982
MAME,5182
MAME1,9508
MAME2,9502
MAMR,10133
MAPH,8982
MAPO,3031
MAPO,8753
MAPO,5217
MAPO,8754
MARE,8752
MARE,8751
MAST,3105
MAST,8740
MAST,5303
MAST,467
MAST1,8328
MAST2,8329
MAUN,3414
MAUN,7607
MAVA,8747
MAVA,8745
MCAL,3415
MCAL,5155
MCAL,40220
MCAP,3417
MCAP,5156
MCAP1,9014
MCAP2,9041
MCBA,5157
MCBD,171
MCBD,5466
MCCA,5160
MCCH,1209
MCCH,8721
MCHI,3435
MCHI,9363
MCHI,9362
MCLI,1509
MCLI,9576
MCSO,707
MCSO,5948
MCSO,3430
MCSO,5170
MCUN,857
MCUN,6093
MCUN,3431
MCWA,8985
MCWA,946
MCWA,8633
MEBD,172
MEBD,5469
MEBD,3441
MEBD,5179
MECE,970
MECE,3591
MEPO,2781
MESO,708
MESO,3445
MESO,5185
MEUN,2983
MEUN,4682
MI3S1,9016
MI3S2,9043
MIBA,73
MIBA,6286
MIBA,3452
MIBA,5203
MIBD,6372
MIBD,3453
MIBD,5211
MIBD,5188
MICA,4707
MICA,4691
MICA,4705
MICA,2996
MICU,2999
MIIN,5703
MIIN,30315
MIIN,3002
MIMC,5770
MITH,773
MITH,6002
MITH,4706
MITH,4702
MITH,3012
MIUN,859
MIUN,7112
MIUN,3462
MIUN,5210
ML11TH,9731
ML11TH,9546
ML9TH,9772
ML9TH,9551
MMCT,5854
MMCT,598
MNTC,6706
MRCY,9487
MRHG1,9766
MUTC,4404
MUTC,2695
NO191,6658
NO192,6657
NTMC,30559
NTMC,30558
OLDP,6760
OLDP,30494
PARK,7949
PASAP,8954
PASAP,9666
PCC,9616
PCPR,7834
PE15,40092
PE15,40114
PECR,30487
PECR,30496
PESC,30056
PESC,30057
PESP,1618
PESP,30515
PHZO,3567
PICP,30513
PIIB,9748
PIIB,9749
PIMC,9569
PIMC,9568
PITH,8991
POBA,9212
POMC,4723
POMD,8634
POPR,9090
PP23,20004
PP23,8368
PPGC,30511
PPGC,30517
PRBA,5237
PRBA,3503
PRBA,6288
PRBA,1020
PRCA,4946
PRCA,3490
PREL,6568
PREL,1280
PREL,9449
PREL,3505
PRSO,731
PRSO,714
PRSO,5939
PRSO,5950
PRUN,5250
PRUN,3510
PRUN,1795
PRUN,7113
PRWA,3033
PRWA,7172
PRWA,4729
PRWA1,9020
PRWA2,9047
PSSO,5248
PSSO,3509
PVCC,536
PVMA,565
PVMA,567
PVMP,1478
PVMP,6824
PWSC,30512
RA48,5819
RA48,572
RA48,3230
RA48,7552
RACO,30154
RACO,30150
RAGI,3366
RAGI,30159
RAGI,5103
RANS,8044
RANS,8359
RASC,30497
RO19,7485
RO19,8043
RO19,4871
RO7S,5862
RO7S,611
ROGR,3670
RUAP,5338
RUAP,3525
RUAP,5263
RUBA,3526
RUBA,5264
RUBA,77
RUBA,5375
RUCH,3036
RUCH,1215
RUCH,6509
RUGU,3535
RUGU,387
RUGU,5672
RURA,3040
RURA,4732
RURA,30097
RURA,30096
RURI,9738
RUSO,716
RUSO,5955
RUSO,3541
RUSO,5284
RUTY,5288
RUUN,863
RUUN,6097
RUUN,3546
RVCP,30507
RVMP,8994
RVMP1,8936
SAFE,30490
SAFE,30491
SCAP,9173
SCCA,281
SCCA,7599
SCCA,3051
SCCA,4747
SCCC,3044
SCCC1,9429
SCCO,9643
SCCO,9627
SCCO,4752
SCFL,3060
SCFL,4744
SCHE,9567
SCIN,7594
SCIN,432
SCIN,3066
SCIN,9659
SCLI,3069
SCLI,4766
SCMC,514
SCMC,5771
SCMC,3087
SCMC,3074
SCMC,4769
SCMK,3075
SCMK,4770
SCMK,532
SCMY,9417
SCMY,8403
SCMY,8434
SCPR,9578
SCRUAP,9721
SCRUAP,9099
SCSH,655
SCSH,5902
SCSH,3082
SCSH,4777
SCTB,3085
SCTB,4780
SCTH,774
SCTH,6003
SCTH,3084
SCTH,4779
SECE,993
SHVL,3147
SHVL,4838
SKET,5904
SKT2,660
SKT3,SKTR3
SKT4,SKTR4
SKT5,SKTR5
SKTR,9290
SKTR,SKTR1
SKYEAS,SKTR2
SKYRCC,SKTR6
SLHS,9209
SLHS,9208
SMCC,8834
SMHS,30386
SMHS,30423
SO24,3198
SO24,4885
SO24,674
SO24,5918
SOCC,1643
SOCC,6963
SOCC,3335
SOCC,5068
SOCW,40217
SODO,1644
SODO,6964
SODO,3345
SODO,5080
SOEV,5938
SOEV,40216
SOGR,700
SOGR,9124
SOLK,3436
SOLK,5171
SOMI,3461
SOMI,5209
SPMA,30462
SPMA,30460
SPMA,30461
SPMA,8833
SPMA,30459
SPRU,30474
SSPR,9572
STBD,3556
STBD,5299
STBR,3101
STBR,4795
STMC,533
STSO,3560
STSO,5304
STUN,3107
STUN,4799
SUAI,30492
SUAI,30493
SUCE,9
SUCE,3
SUCE,6243
SUCE,20
SUCE,4
SUCE,10272
SUCE,10142
SUCE,983
SUML,30399
SUPR,8859
SUSP,30508
SUVI,3352
SWIFT,7470
SYMA,30452
SYMA,8758
SYMA,30455
SYMA,30456
SYMA,30457
SYMA1,1472
SYMA1,8829
TAMO,4821
TAMO,3134
TCFA,9566
TCFA,9565
TELI,9733
TEMP,9564
TEMP,30577
TERU,3545
TETC,30369
TETC,30372
TETC,30376
TETC,30375
TETC,8757
TETC,8765
TETC,30371
TETC,30374
TETC,30370
TETC,8756
TMPE1,8915
TMPE1,8911
TMSC,9127
TMSC,9128
TPLI,5278
TR73,30479
TR73,30484
TREV,4287
UHTA,3109
UHTA,6046
UNCC,1777
UNCC,7098
UNGI,833
UNGI,6059
UNGI,2895
UNGI,4610
UNGR,834
UNGR,6060
UNPO,9488
UNPO,6074
UNPO,3032
UNPO,4724
UNPR,870
UNPR,861
UNPR,6095
UNRU,9344
UNRU,9343
UNRU,9341
UNRU,9342
UNRU1,9025
UNRU2,9052
UNSO,9492
UNVA,847
UNVA,6080
VALU,5215
VALU,84
VALU,3476
VAPE,8180
VB95,7141
VB96,1826
VB96,7151
VBCE,899
VBCE,4543
VBGP,904
VBGP,6128
VLFL,30338
VLLV,3146
VLSC,30438
VLYC,30481
VQCA,9096
VSEM,30518
VSRC,30514
VSRC,30510
WA12,6188
WA122,9028
WA38,957
WA38,6199
WA381,9003
WA382,9031
WACP1,9008
WACP2,9036
WBTH,30383
WBTH,30425
WECL,2729
WECL,5014
WECL,4434
WFHI,8191
WFHI,8192
WMPR,9088
WRRU,3548
WWCC,30480
YUWA,9705
YUWA,9706
