service_id,date,exception_type
SKYT_7-days_2_SKYT_1111111,20231017,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231017,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231017,1
VMRU_Weekday_1_2301-VMRU_1111100,20231017,1
Express_Weekday_1_2307-VMTM_1111100,20231017,1
FLSH_Weekday_1_2307-VMTM_1111100,20231017,1
Local_Weekday_1_2307-VMTM_1111100,20231017,1
School_Weekday_1_2307-VMTM_1101100,20231017,1
School_Weekday_1_2307-VMTM_1111000,20231017,1
Express_Weekday_1_2307-VMW_1111100,20231017,1
Local_Weekday_1_2307-VMW_1111000,20231017,1
Local_Weekday_1_2307-VMW_1111100,20231017,1
GUS1_Weekday_1_2301-GL_1111100,20231018,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231018,1
Local_Weekday_10_2307-PHNS_1111100,20231018,1
RAPID_Weekday_10_2307-PHNS_1111100,20231018,1
School_Weekday_11_2307-PHNS_0111100,20231018,1
School_Weekday_11_2307-PHNS_1111100,20231018,1
Local_Weekday_20_2307-PHW_1111100,20231018,1
School_Weekday_40_2307-PHW_0111100,20231018,1
School_Weekday_40_2307-PHW_1111100,20231018,1
SC_Weekday_1_2310-SC_1111100,20231018,1
SKYT_7-days_2_SKYT_1111111,20231018,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231018,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231018,1
VMRU_Weekday_1_2301-VMRU_1111100,20231018,1
Express_Weekday_1_2307-VMTM_1111100,20231018,1
FLSH_Weekday_1_2307-VMTM_1111100,20231018,1
Local_Weekday_1_2307-VMTM_1111100,20231018,1
School_Weekday_1_2307-VMTM_0010000,20231018,1
School_Weekday_1_2307-VMTM_1111000,20231018,1
Express_Weekday_1_2307-VMW_1111100,20231018,1
Local_Weekday_1_2307-VMW_1111000,20231018,1
Local_Weekday_1_2307-VMW_1111100,20231018,1
GUS1_Weekday_1_2301-GL_1111100,20231019,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231019,1
Local_Weekday_10_2307-PHNS_1111100,20231019,1
RAPID_Weekday_10_2307-PHNS_1111100,20231019,1
School_Weekday_11_2307-PHNS_0111100,20231019,1
School_Weekday_11_2307-PHNS_1111100,20231019,1
Local_Weekday_20_2307-PHW_1111100,20231019,1
School_Weekday_40_2307-PHW_0111100,20231019,1
School_Weekday_40_2307-PHW_1111100,20231019,1
SC_Weekday_1_2310-SC_1111100,20231019,1
SKYT_7-days_2_SKYT_1111111,20231019,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231019,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231019,1
VMRU_Weekday_1_2301-VMRU_1111100,20231019,1
Express_Weekday_1_2307-VMTM_1111100,20231019,1
FLSH_Weekday_1_2307-VMTM_1111100,20231019,1
Local_Weekday_1_2307-VMTM_1111100,20231019,1
School_Weekday_1_2307-VMTM_1101100,20231019,1
School_Weekday_1_2307-VMTM_1111000,20231019,1
Express_Weekday_1_2307-VMW_1111100,20231019,1
Local_Weekday_1_2307-VMW_1111000,20231019,1
Local_Weekday_1_2307-VMW_1111100,20231019,1
GUS1_Weekday_1_2301-GL_1111100,20231020,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231020,1
Local_Weekday_10_2307-PHNS_1111100,20231020,1
RAPID_Weekday_10_2307-PHNS_1111100,20231020,1
School_Weekday_11_2307-PHNS_0111100,20231020,1
School_Weekday_11_2307-PHNS_1111100,20231020,1
Local_Weekday_20_2307-PHW_1111100,20231020,1
School_Weekday_40_2307-PHW_0111100,20231020,1
School_Weekday_40_2307-PHW_1111100,20231020,1
SC_Weekday_1_2310-SC_1111100,20231020,1
SKYT_7-days_2_SKYT_1111111,20231020,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231020,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231020,1
VMRU_Weekday_1_2301-VMRU_1111100,20231020,1
Express_Weekday_1_2307-VMTM_1111100,20231020,1
FLSH_Weekday_1_2307-VMTM_1111100,20231020,1
Local_Weekday_1_2307-VMTM_1111100,20231020,1
School_Weekday_1_2307-VMTM_0000100,20231020,1
School_Weekday_1_2307-VMTM_1101100,20231020,1
Express_Weekday_1_2307-VMW_1111100,20231020,1
Local_Weekday_1_2307-VMW_0000100,20231020,1
Local_Weekday_1_2307-VMW_1111100,20231020,1
GUS1_Saturday_1_2301-GL_0000010,20231021,1
