name,node_id,x_coord,y_coord,node_type,geometry,agency_name,route_id,route_type,terminal_flag,physical_node_id,ctrl_type,agent_type,zone_id,directed_route_id,directed_service_id
S.2.9742:1;10;2;3;4;5;6;7;8;9,1500020,-111.940019,33.424732,tram_service_node,POINT (-111.940019 33.424732),Valley Metro,S,0,0,1000018,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.9734:1;10;2;3;4;5;6;7;8;9,1500021,-111.940028,33.427836,tram_service_node,POINT (-111.940028 33.427836),Valley Metro,S,0,0,1000019,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.9419:1;10;2;3;4;5;6;7;8;9,1500022,-111.938271,33.430035999999994,tram_service_node,POINT (-111.938271 33.430035999999994),Valley Metro,S,0,1,1000005,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
RAIL.1.9762:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500023,-111.790841,33.415231,tram_service_node,POINT (-111.790841 33.415231),Valley Metro,RAIL,0,1,1000020,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9041:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500024,-111.90836900000001,33.41464,tram_service_node,POINT (-111.90836900000001 33.41464),Valley Metro,RAIL,0,0,1000021,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9038:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500025,-111.916999,33.414676,tram_service_node,POINT (-111.916999 33.414676),Valley Metro,RAIL,0,0,1000022,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9052:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500026,-111.92699400000001,33.420714999999994,tram_service_node,POINT (-111.92699400000001 33.420714999999994),Valley Metro,RAIL,0,0,1000023,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9054:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500027,-111.93603900000001,33.426033999999994,tram_service_node,POINT (-111.93603900000001 33.426033999999994),Valley Metro,RAIL,0,0,1000024,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9043:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500028,-111.94080000000001,33.427459,tram_service_node,POINT (-111.94080000000001 33.427459),Valley Metro,RAIL,0,0,1000025,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9036:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500029,-111.94670500000001,33.437946999999994,tram_service_node,POINT (-111.94670500000001 33.437946999999994),Valley Metro,RAIL,0,0,1000026,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9047:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500030,-111.956207,33.441908,tram_service_node,POINT (-111.956207 33.441908),Valley Metro,RAIL,0,0,1000027,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9764:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500031,-111.975407,33.446934,tram_service_node,POINT (-111.975407 33.446934),Valley Metro,RAIL,0,0,1000028,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9033:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500032,-111.98808,33.448068,tram_service_node,POINT (-111.98808 33.448068),Valley Metro,RAIL,0,0,1000029,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9031:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500033,-111.99997900000001,33.448001999999995,tram_service_node,POINT (-111.99997900000001 33.448001999999995),Valley Metro,RAIL,0,0,1000030,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.8329:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500034,-111.803199,33.415124999999996,tram_service_node,POINT (-111.803199 33.415124999999996),Valley Metro,RAIL,0,0,1000031,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9030:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500035,-112.029385,33.448091999999995,tram_service_node,POINT (-112.029385 33.448091999999995),Valley Metro,RAIL,0,0,1000032,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9028:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500036,-112.05727900000001,33.448147999999996,tram_service_node,POINT (-112.05727900000001 33.448147999999996),Valley Metro,RAIL,0,0,1000033,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9032:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500037,-112.070695,33.448252,tram_service_node,POINT (-112.070695 33.448252),Valley Metro,RAIL,0,0,1000034,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9055:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500038,-112.073966,33.448789999999995,tram_service_node,POINT (-112.073966 33.448789999999995),Valley Metro,RAIL,0,0,1000035,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9053:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500039,-112.074055,33.451822,tram_service_node,POINT (-112.074055 33.451822),Valley Metro,RAIL,0,0,1000036,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9048:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500040,-112.073974,33.459317999999996,tram_service_node,POINT (-112.073974 33.459317999999996),Valley Metro,RAIL,0,0,1000037,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9042:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500041,-112.07391100000001,33.464603,tram_service_node,POINT (-112.07391100000001 33.464603),Valley Metro,RAIL,0,0,1000038,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9039:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500042,-112.073899,33.473555,tram_service_node,POINT (-112.073899 33.473555),Valley Metro,RAIL,0,0,1000039,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9051:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500043,-112.07386100000001,33.481133,tram_service_node,POINT (-112.07386100000001 33.481133),Valley Metro,RAIL,0,0,1000040,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
RAIL.1.9045:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9,1500044,-112.07389400000001,33.48676,tram_service_node,POINT (-112.07389400000001 33.48676),Valley Metro,RAIL,0,0,1000041,,,,RAIL.1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
