link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000029,1500051,1500052,tram,1,RAIL.1,1,service_links,1875.0880232718073,1,999999,31.251467054530117,0,3,999999.0,0.15,4,0,"LINESTRING (-112.099722   33.520585, -112.099663   33.537448)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,35,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000030,1500052,1500053,tram,1,RAIL.1,1,service_links,1648.137979925924,1,999999,27.46896633209873,0,3,999999.0,0.15,4,0,"LINESTRING (-112.099663   33.537448, -112.099612   33.552270)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,36,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000031,1500053,1500054,tram,1,RAIL.1,1,service_links,1684.4979374556501,1,999999,21.971712227682396,0,4,999999.0,0.15,4,0,"LINESTRING (-112.099612   33.552270, -112.100848   33.567384)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,37,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000032,1500054,1500055,tram,1,RAIL.1,1,service_links,30240.560745989267,1,999999,5.0,0,-89,999999.0,0.15,4,0,"LINESTRING (-112.100848   33.567384, -111.830655   33.415110)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,38,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000033,1500055,1500056,tram,1,RAIL.1,1,service_links,781.4077158307757,1,999999,18.032485749940978,0,2,999999.0,0.15,4,0,"LINESTRING (-111.830655   33.415110, -111.839074   33.415120)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,4,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000034,1500056,1500057,tram,1,RAIL.1,1,service_links,1530.646698536199,1,999999,19.964956937428685,0,4,999999.0,0.15,4,0,"LINESTRING (-111.839074   33.415120, -111.855564   33.414940)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,5,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000035,1500057,1500058,tram,1,RAIL.1,1,service_links,1424.090809600872,1,999999,23.7348468266812,0,3,999999.0,0.15,4,0,"LINESTRING (-111.855564   33.414940, -111.870907   33.414855)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,6,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000036,1500058,1500059,tram,1,RAIL.1,1,service_links,1597.0720395782266,1,999999,36.85550860565138,0,2,999999.0,0.15,4,0,"LINESTRING (-111.870907   33.414855, -111.888114   33.414821)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,7,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000037,1500059,1500060,tram,1,RAIL.1,1,service_links,1177.363996499939,1,999999,19.622733274998982,0,3,999999.0,0.15,4,0,"LINESTRING (-111.888114   33.414821, -111.900799   33.414789)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,8,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000038,1500063,1500064,tram,1,RAIL.2,1,service_links,9298.41377263473,1,999999,23.640035015173044,0,23,999999.0,0.15,4,0,"LINESTRING (-112.100848   33.567384, -112.073794   33.486860)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,1,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
