route_key,mode,o_zone_id,d_zone_id,o_x_coord,o_y_coord,d_x_coord,d_y_coord,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,volume,WKT_geometry
27_1_transit,transit,27,1,-122.387,37.6002,-122.272,37.8035,23.2856,37.4665,15.3933,24.7679,1.5127,48.8657,49.2393,3,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.295244 37.804823,-122.271689 37.803371,-122.271589 37.803471)"
27_2_transit,transit,27,2,-122.387,37.6002,-122.42,37.7652,14.0283,22.5715,11.5402,18.5681,1.21561,30.8598,30.9401,4,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.419755 37.765176)"
27_3_transit,transit,27,3,-122.387,37.6002,-122.269,37.8081,23.6393,38.0356,15.7467,25.3365,1.50122,49.8667,50.2418,5,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.295244 37.804823,-122.271689 37.803371,-122.268822 37.807960,-122.268722 37.808060)"
27_4_transit,transit,27,4,-122.387,37.6002,-122.419,37.7524,13.1443,21.1492,10.6594,17.151,1.23312,28.8589,28.8853,1,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.418518 37.752422)"
27_7_transit,transit,27,7,-122.387,37.6002,-122.448,37.7218,10.4842,16.8691,9.03083,14.5306,1.16094,23.8569,23.8598,6,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.447510 37.721758)"
27_11_transit,transit,27,11,-122.387,37.6002,-122.414,37.7794,15.0656,24.2406,12.4731,20.0692,1.20785,32.8608,33.0401,19,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.413879 37.779450)"
27_12_transit,transit,27,12,-122.387,37.6002,-122.466,37.6846,7.39177,11.8934,7.27172,11.7002,1.01651,15.855,15.8568,3,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.466167 37.684642)"
27_15_transit,transit,27,15,-122.387,37.6002,-122.469,37.7063,8.89675,14.3149,8.59906,13.8359,1.03462,18.856,18.8582,12,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.468994 37.706304)"
27_16_transit,transit,27,16,-122.387,37.6002,-122.268,37.8701,27.9399,44.9553,19.7466,31.7722,1.41492,59.8696,60.2495,2,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.295244 37.804823,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.268078 37.870117)"
27_19_transit,transit,27,19,-122.387,37.6002,-122.397,37.7928,16.3663,26.3333,13.3186,21.4296,1.22883,37.8638,38.2136,25,"LINESTRING(-122.386840 37.600199,-122.386940 37.600099,-122.391995 37.615923,-122.416484 37.637620,-122.444354 37.664337,-122.466267 37.684542,-122.469094 37.706204,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.397080 37.792789)"
