path_id,service_route_id,o_zone_id,d_zone_id,unique_route_id,agent_type,demand_period,toll,travel_time,distance,link_sequence,node_sequence,geometry,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,seed_od_volume,target_od_volume,final_est_od_volume,volume
1062,2,15,40,3,transit,AM,0,30.3482,28314.3,133;654;632;666;624;612;638;717;684;660;747;606;618;678;722,15;191;180;197;175;169;183;223;206;194;238;166;172;203;226;40,,0.0558212,15;191;180;197;175;169;183;223;206;194;238;166;172;203;226;40,133;654;632;666;624;612;638;717;684;660;747;606;618;678;722,17.5974,28.3143,30.3482,30.3482,2778_9391,2,0,2,0.111642
1063,1,15,40,2,transit,AM,0,30.3482,28314.3,132;652;630;664;622;610;636;715;682;658;745;604;616;676;720,15;190;179;196;174;168;182;222;205;193;237;165;171;202;225;40,,0.813348,15;190;179;196;174;168;182;222;205;193;237;165;171;202;225;40,132;652;630;664;622;610;636;715;682;658;745;604;616;676;720,17.5974,28.3143,30.3482,30.3482,2764_9362,2,0,2,1.6267
1064,0,15,40,1,transit,AM,0,30.3482,28314.3,131;650;628;662;620;608;634;713;680;656;743;602;614;674;718,15;189;178;195;173;167;181;221;204;192;236;164;170;201;224;40,,0.130831,15;189;178;195;173;167;181;221;204;192;236;164;170;201;224;40,131;650;628;662;620;608;634;713;680;656;743;602;614;674;718,17.5974,28.3143,30.3482,30.3482,2750_9333,2,0,2,0.261662
1065,1,15,41,2,transit,AM,0,38.9331,36371.8,136;990;980;1000;978;976;986;1012;1010;992;1026;1004;998;988;1013,15;364;358;369;357;356;362;375;374;365;382;371;368;363;376;41,,0.611519,15;364;358;369;357;356;362;375;374;365;382;371;368;363;376;41,136;990;980;1000;978;976;986;1012;1010;992;1026;1004;998;988;1013,22.6052,36.3718,38.9331,38.9331,5196_14089,2,0,2,1.22304
1066,0,15,41,1,transit,AM,0,38.9331,36371.8,130;578;568;585;566;564;574;591;589;581;597;587;583;576;592,15;151;146;155;145;144;149;158;157;153;161;156;154;150;159;41,,0.388481,15;151;146;155;145;144;149;158;157;153;161;156;154;150;159;41,130;578;568;585;566;564;574;591;589;581;597;587;583;576;592,22.6052,36.3718,38.9331,38.9331,2194_8261,2,0,2,0.776963
1067,2,15,42,3,transit,AM,0,10.0492,9261.84,128;436;424;515;505,15;78;72;119;113;42,,0.0821884,15;78;72;119;113;42,128;436;424;515;505,5.75627,9.26184,10.0492,10.0492,439_2008,6,0,6,0.49313
1068,1,15,42,2,transit,AM,0,10.0492,9261.84,127;434;422;513;503,15;77;71;118;112;42,,0.143564,15;77;71;118;112;42,127;434;422;513;503,5.75627,9.26184,10.0492,10.0492,435_1999,6,0,6,0.861382
1069,0,15,42,1,transit,AM,0,10.0492,9261.84,126;432;420;511;501,15;76;70;117;111;42,,0.774248,15;76;70;117;111;42,126;432;420;511;501,5.75627,9.26184,10.0492,10.0492,431_1990,6,0,6,4.64549
1070,2,15,43,3,transit,AM,0,13.4962,12497.2,128;436;424;515;506;509,15;78;72;119;113;116;43,,0.0821884,15;78;72;119;113;116;43,128;436;424;515;506;509,7.76704,12.4972,13.4962,13.4962,556_2518,23,0,23,1.89033
1071,1,15,43,2,transit,AM,0,13.4962,12497.2,127;434;422;513;504;508,15;77;71;118;112;115;43,,0.143564,15;77;71;118;112;115;43,127;434;422;513;504;508,7.76704,12.4972,13.4962,13.4962,551_2508,23,0,23,3.30196
1072,0,15,43,1,transit,AM,0,13.4962,12497.2,126;432;420;511;502;507,15;76;70;117;111;114;43,,0.774248,15;76;70;117;111;114;43,126;432;420;511;502;507,7.76704,12.4972,13.4962,13.4962,546_2498,23,0,23,17.8077
1073,2,15,45,3,transit,AM,0,5.94487,5409.63,128;436;424;514,15;78;72;119;45,,0.0821884,15;78;72;119;45,128;436;424;514,3.36211,5.40963,5.94487,5.94487,329_1502,4,0,4,0.328754
1074,1,15,45,2,transit,AM,0,5.94487,5409.63,127;434;422;512,15;77;71;118;45,,0.143564,15;77;71;118;45,127;434;422;512,3.36211,5.40963,5.94487,5.94487,326_1495,4,0,4,0.574255
1075,0,15,45,1,transit,AM,0,5.94487,5409.63,126;432;420;510,15;76;70;117;45,,0.774248,15;76;70;117;45,126;432;420;510,3.36211,5.40963,5.94487,5.94487,323_1488,4,0,4,3.09699
1076,0,15,47,1,transit,AM,0,72.5126,67888.9,136;990;980;1000;978;976;986;1012;1010;992;1026;1004;998;988;1014;982;1002;1016;1020;996;1023,15;364;358;369;357;356;362;375;374;365;382;371;368;363;376;359;370;377;379;367;381;47,,1,15;364;358;369;357;356;362;375;374;365;382;371;368;363;376;359;370;377;379;367;381;47,136;990;980;1000;978;976;986;1012;1010;992;1026;1004;998;988;1014;982;1002;1016;1020;996;1023,42.1933,67.8889,72.5126,72.5126,7435_20129,1,0,1,1
