route_key,mode,o_zone_id,d_zone_id,volume,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,google_maps_http_link,WKT_geometry
4_38_transit,transit,4,38,32,2.44357,3.93171,2.30793,3.71346,1.05877,6.85345,6.95698,"https://www.google.com/maps/dir/37.752422,-122.418518/37.784645,-122.407387/","LINESTRING(-122.418518 37.752422,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.407387 37.784645)"
5_1_transit,transit,5,1,25,35.0104,56.3317,29.8866,48.0875,1.17144,57.8619,59.3078,"https://www.google.com/maps/dir/37.995415,-121.780353/37.803471,-122.271589/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.271589 37.803471)"
5_2_transit,transit,5,2,19,44.2677,71.2267,38.3274,61.6688,1.15499,76.868,80.1206,"https://www.google.com/maps/dir/37.995415,-121.780353/37.765176,-122.419755/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.419755 37.765176)"
5_3_transit,transit,5,3,19,34.6567,55.7626,29.6058,47.6358,1.1706,56.8609,58.221,"https://www.google.com/maps/dir/37.995415,-121.780353/37.808060,-122.268722/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.268722 37.808060)"
5_11_transit,transit,5,11,45,43.2303,69.5576,37.6312,60.5486,1.14879,74.8669,78.1182,"https://www.google.com/maps/dir/37.995415,-121.780353/37.779450,-122.413879/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.413879 37.779450)"
5_14_transit,transit,5,14,21,15.6942,25.2519,13.63,21.9307,1.15144,26.8535,27.069,"https://www.google.com/maps/dir/37.995415,-121.780353/37.973773,-122.029126/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.029126 37.973773)"
5_19_transit,transit,5,19,49,41.9297,67.4649,36.4252,58.6081,1.15112,69.8639,73.035,"https://www.google.com/maps/dir/37.995415,-121.780353/37.792789,-122.397080/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.397080 37.792789)"
5_26_transit,transit,5,26,17,33.2199,53.4508,28.9261,46.542,1.14844,52.8598,53.9156,"https://www.google.com/maps/dir/37.995415,-121.780353/37.828814,-122.267163/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.267163 37.828814)"
5_29_transit,transit,5,29,54,42.2806,68.0295,36.7508,59.132,1.15047,70.8649,74.0851,"https://www.google.com/maps/dir/37.995415,-121.780353/37.789213,-122.401642/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.401642 37.789213)"
5_38_transit,transit,5,38,45,42.7257,68.7456,37.1633,59.7957,1.14968,72.8659,76.1088,"https://www.google.com/maps/dir/37.995415,-121.780353/37.784645,-122.407387/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.407387 37.784645)"
